标题,来源,时间,问题,回答
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
专业,18***25 (河北),2017-06-26 10:33,请问还有什么专业吗？有适合女生的专业吗，以后就业可以不在新疆吗,校区招生专业不限男女比例，就业是面向全国的。
与北京本部毕业证的差别,me*** (河北),2017-06-25 15:25,毕业证上会不会有“克拉玛依校区”的字样,按教育部要求，克拉玛依校区招收的学生属于新疆自治区教育厅管理，毕业时会在毕业证上注明“克拉玛依校区”的字样。
考研,a9***9 (河南),2016-06-27 14:10,请问这五个专业都可以考研吗？如果考研的话考研方向是哪里？,您好，这五个专业均参与考研和保研，考研可报考同专业硕士研究生也可报考我校其他专业硕士研究生，视导师所在地不同确定在哪个校区就读。
生活与就业,a9***9 (河南),2016-06-27 12:10,请问毕业之后就业方向以及薪酬待遇如何？是否毕业后只能在中西部发展？是否可以调专业？,[参考北京校区，近五年来，学校整体就业率平均在96%以上；每年70%以上的毕业生通过校园双选会找到工作；我校近60%的本科毕业生进入中国石油、中国石化、中国海油、中国中化集团公司等为代表的世界500强石油石化企业。同时，学校培养的学生的质量高，也吸引了国外知名的大型石油石化、能源类企业来校招聘，例如：康菲公司、壳牌公司、雪佛龙股份有限公司、斯伦贝谢公司、美国新田石油公司等。国内外许多石油石化等企业将我校毕业生列为校园招聘首选。具体薪酬视个人能力不同有所不同，就业不局限在中西部地区，学校积极组织各种双选会、宣讲会等，提供各地各岗位需求供毕业生选择。克拉玛依校区大一课程各专业通修，可在第二学期末进行转专业。
克拉玛依,a9***9 (河南),2016-06-26 09:17,请问在克拉玛依校区毕业的学生学位证和北京校区的一样吗,我们是一个学校，学位证是一样的，仅毕业证上会注明是在克拉玛依校区完成的学业。
专业编码,13***64 (新疆),2016-06-22 13:50,在招生与考试第三期上没有贵校的专业编码和招生简章，如想报考贵校，该如何查询此类信息,"[1我校招生简章您可浏览我校本科招生网,具体网址为:http://www.cup.edu.cn/bkzs/2您的志愿填报需根据您所在省市的高考填报志愿指南进行填报,我校的专业代码并不影响您的报名录取,我校可把各专业的专业代码告知给您,分别为:石油工程专业代码为081502，资源勘查工程专业代码为081403，化学工程与工艺专业代码为081301，过程装备与控制工程专业代码为080206，机械设计制造及其自动化专业代码为080202，软件工程专业代码为080902"
