标题,来源,时间,问题,回答
北京理科550咨询,13***21 (北京),2018-06-26 11:02,可以报考校一本哪个专业,建议根据自己的兴趣和高考分数报考专业。
陕西考生,18***67 (陕西),2018-06-26 10:42,52428125可以报什么专业,建议打招生热线咨询：0451-82190346
湖南文科考生咨询,15***90 (湖南),2018-06-26 09:50,老师你好分数577位次11213超过我省本一分数线8分想报贵校日语系是否有机会被录取？另贵校日语系是否有公费出国留学的机会？,同学你好，你可以上东北林业大学招生信息网（http://zhaosheng.nefu.edu.cn/）查询近几年日语专业的分数和相应年份的段位，再与你的段位做比较；有出国留学的机会。
吉林考生,15***93 (吉林),2018-06-26 09:09,吉林考生，高考成绩557，位次12415，想学习生物科学类，希望大吗？如果生物科学不能录取，还有其他专业可以推荐吗？,同学你好，我校2017年在吉林省的最高分是570位次是6549，最低分是507位次是16012；生物科学类包括生物科学（基地班）、生物技术（基地班）和生物技术，你可以到东北林业大学招生信息网（http://zhaosheng.nefu.edu.cn/）查询2017年这三个专业的分数。
江西省文科4800排名录取希望如何,13***12 (江西),2018-06-25 16:35,如题，录取希望如何，另外，按大类招生吗？经济学类和工商管理类，能否提供历年录取分数具体数据，谢谢,考生你好，我们学校在你们省文史类录取的最高分是553，段位是4565，最低分是549.段位是5202，历年的录取分数具体数据你可以登录到东北林业大学招生信息网查看
录取,sh***97979 (山东),2017-06-27 11:21,您好，山东理科577，高出一本线62分，可以报考贵校吗？,考生您好，我校2016年在山东省理科招生的录取最低分为590分，对应的全省排名为34249.您可以根据今年自己的全省排名进行参考。今年的成绩有可能被我校录取，欢迎报考东北林业大学！
录取咨询,as***22 (贵州),2017-06-27 10:52,贵州理科497，位次20816，有录取的机会吗？,考生你好，我校2016年在贵州省的理工类录取最高分数为536分，最低分数为499分，最低分数对应在贵州省的一个排位为28271名，根据您的分数以及省的排名有很大的希望与几率被我校录取，欢迎报考东北林业大学.
宿舍条件,15***89 (四川),2017-06-27 10:31,贵校住宿条件怎么样,新生入学均为六人寝，环境优良。欢迎报考东北林业大学。
报考咨询,pe***996 (陕西),2017-06-27 09:51,老师你好，我是陕西考生，一本上线38分，位次32044，能报考贵校吗,考生你好，我校2016年在陕西省的理工类录取的最高分数为571，最低分数为511，最低分数所对应的排位为28825，根据你的分数以及省的排名，鼓励报考我校，欢迎报考东北林业大学
内蒙古理科,jj*** (内蒙古),2017-06-27 09:22,老师您好，我是内蒙古理科考生，分数504高内蒙古一本线38分，位次14137，报考贵校能否被录取？,考生你好，我校2016年在内蒙古的理工类录取的最高分数为591，最低分数为516，最低分数所对应的省排位为15055，根据你的分数以及省的排位，鼓励报考我校，欢迎报考东北林业大学。
江苏考生,nn***1 (江苏),2017-06-26 16:54,文化224专业统考258能不能报考贵校,考生，您好。我校对于江苏省艺术类考生的录取规则是专业课成绩达到本科合格线，按照高考文化课由高到低录取，但江苏省招办会按照文化课成绩与专业科统考成绩加和进行投档。2016年江苏省艺术类投档最低分为426分，对应文化课成绩为246分。被录取到我校的机会很大，欢迎报考东北林业大学！
理科女生,ly*** (广西),2017-06-26 16:51,老师您好，我是广西理科女，今年497分报考贵校有希望吗？,考生您好，我校2016年在广西地区理科录取最低分为514，对应的段位为23929.您可以查看一下自己的全省排名进行参考。欢迎报考东北林业大学！
山东理科,sa*** (北京),2017-06-26 15:54,老师您好，我本次高考成绩578分，山东省位次30070。本人对生物、化学有着较大兴趣，请问报考贵校的可能大不大,考生你好，我校2016年在山东省的理工类录取的最高分数为612，最低分数为590，最低分数所对应的省排名34249名，根据你的分数以及省排名，鼓励报考我校，欢迎报考东北林业大学。
请问,gu***23 (黑龙江),2017-06-26 15:20,您好，我是黑龙江考生，2017年高考成绩是534分，一本线是455分，省排名13138，有机会被贵校录取么？,考生您好，我校2016年在黑龙江省理科录取最低分对应的位次为12857.根据今年的成绩，鼓励您报考我校。欢迎报考东北林业大学！
专业,qm*** (山东),2017-06-26 14:38,请问贵校在山东有什么较为突出的文科专业？,考生您好，您可以东北林业大学招生信息网下载我校报考指南了解不同专业的特点和特色。欢迎报考东北林业大学！
山西理科考生咨询,zh*** (山西),2017-06-26 14:21,老师您好，我是山西理科考生，高考成绩高出一本线33分，报考贵校有希望吗？哪些专业把握大？谢谢！,考生你好，我校2016年在山西省的理工类录取最高分数为560，最低分数为531，最低分数所对应的省排名为22142，是否能被我校录取也要与您的总分数以及省的排名与以上信息进行比较，欢迎报考东北林业大学
请问，山东理科580分，位次27800，能报考贵校吗？谢谢！,my***xiang (山东),2017-06-26 13:11,请问，山东理科580分，位次27800，想报考计算机专业，有把握吗？谢谢！,考生你好，我校在2016年山东省招生理科最低分为590，对应的位次为34249.被我录取的机会很大，不同专业的录取分数可以到东北林业大学招生信息网进行查询。欢迎报考东北林业大学！
风景园林,hx***hxz (贵州),2017-06-26 11:47,请问贵校风景园林专业是否需要手绘图纸？对于没什么绘画基础的学生是否可以填报？,考生你好，我校对风景园林专业的学生不做绘画基础的要求，学生到大学之后会进行零基础的绘画教学。欢迎报考东北林业大学！
咨询,yu***n (河南),2017-06-26 10:58,老师您好，我是河南理科考生，高考成绩是521，贵校高校专项计划我过了，请问能被贵校电子系录取吗？谢谢。,考生您好，我校2016年在河南省高校专项的录取最低分为528，对应的位次为65849.您可以查询自己成绩对应的位次进行参考。另不同专业的录取情况不同，您可以到东北林业大学招生信息网查询高校专项不同专业的录取分数。欢迎报考东北林业大学！
河北理科,19*** (河北),2017-06-26 09:28,您好，我是河北考生，高校专项计划分数528可不不可能被贵校录取？,考生您好，我校2016年在河北省高校专项的录取最低分为563，对应的位次为42642.您可以查询自己的位次进行参考，同时也可以到东北林业大学招生信息网查询往年的录取分数进行衡量。欢迎报考东北林业大学！
山东理科588,sd*** (山东),2017-06-28 16:54,山东理科588排名24000报考贵校的生物科学类或者数学和应用数学类希望大吗？若是服从调剂希望大吗？,考生您好，我校2016年在山东省理科类录取最低分为590，对应的位次为34249.根据您今年的成绩被录取的可能行很大，鼓励报考。另不同专业的录取成绩可以到东北林业大学招生信息网查询历年的录取分数进行参考。欢迎报考东北林业大学！
山东考生,sd*** (山东),2017-06-28 16:29,排名28737能否被贵校机械类（机电）录取？,考生您好，我校2016年在山东省理科录取的最低分数所对应的位次为34249.根据您今年的成绩，鼓励报考我校。另不同专业的录取分数可以到东北林业大学招生信息网进行查询。欢迎报考东北林业大学！
重庆文科,gr*** (重庆),2017-06-27 11:41,高考549省内排名4972有希望报考你们大学哪个较好专业??,考生你好，我校在2016年重庆市文科录取最低分数为546，对应的位次为5458.可以试一试报考我校，欢迎报考东北林业大学！另外，您可以到东北林业大学招生信息网下载我校的报考指南，了解不同专业的特色及特点。
贵州理科,mi*** (贵州),2017-06-26 15:54,老师您好，我是贵州理科生，今年高考成绩505，高出一本线49分，排名17990，请问能报考贵校么？可有希望录取？谢谢。,考生您好，我校2016年在贵州理科录取最低分数为499，对应的位次为28271.根据今年的成绩，您被我校录取的几率很大。欢迎报考东北林业大学！
黑龙江省考生 高于重本线62分 可有机会报考林大？,a8*** (黑龙江),2017-06-26 13:12,最低位次大概1万六千八百八,考生您好，我校2016年在黑龙江省理科录取最低分对应的段位为12857.根据您的位次，鼓励报考我校。欢迎报考东北林业大学！
咨询,18***72 (黑龙江),2018-06-28 15:51,老师好，我想请教几个问题。1:关于录取，如果进档后服从专业调剂，但是意向专业全部已满。平行志愿的情况下，我会被退档吗。2:文史类新生，可以申请四人或六人间宿舍吗？谢谢老师！,考生你好，考生体检合格、服从调剂，我校一定不会退档。住宿问题请拨打0451-82190346
中外合作办学,15***57 (辽宁),2018-06-28 15:48,中外合作办学英语成绩必须是105分以上才行么。三年后不去英国行么，四年都在国内学,我校对于工程管理（中外合作办学）专业英语分数是建议105分以上。我校采取的是“3+1”模式，3年在东北林业大学学习，成绩考核通过，才能去阿斯顿大学深造。
中外合作办学项目可以全部在国内读么,15***57 (辽宁),2018-06-28 15:36,中外合作办学项目可以全部在国内读么,考生你好，我校工程管理（中外合作办学）专业采取的是“3+1”模式，前3年在我校就读，成绩考核通过之后才能去英国阿斯顿大学深造。
河南理科,18***90 (河南),2018-06-28 13:01,老师河南理科562，排名39257，服从调剂，有希望被录取吗,考生你好，建议你报考，能否被我校录取，还得看2018年河南考生报考我校的情况，我校2017年在河南省理工类录取最低分535，段位是38770，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
风景园林专业,13***69 (山东),2018-06-28 13:00,风景园林专业可以报考贵校建筑学硕士吗？城乡规划专业可以转风景园林吗,考生你好，可以报考，我校转专业的政策是，跨科类不得转专业，特殊类考生不得转专业，其他都可以转专业。
新疆 理科女生520分,wy***63.com (新疆),2018-06-28 12:02,请问新疆女考生520分，一本线467，能进入东北林业大学就读吗？,考生你好，可以报考，我校2017年在新疆理工类录取的最低分是471，段位是10250，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
咨询,13***97 (河南),2018-06-28 11:50,河南省理科考生560分有多大把握上东北林业大学,考生你好，具体还得看你在河南省的段位是多少，我校2017年在河南省理工类录取的最低分段位是38770，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
河南理科,15***53 (河南),2018-06-28 11:23,老师您好，我是河南理科考生，高考成绩566，省控线499，请问有望被贵校录取吗？谢谢。,考生你好，我校2017年在河南省理工类录取的最低分段位是38770，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
国家专项,18***18 (河南),2018-06-28 10:39,老师您好，请问河南理科考生543分报考贵校的国家专项可能性大吗,考生你好，我校2017年在河南省国家专项理工类录取的最低分是524，段位是47284，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
录取,15***19 (山东),2018-06-28 10:12,今年山东585分，位次29000，服从调剂可能被录取吗？,考生你好，建议报考，我校2017年在山东省理工类录取的最低分是574，最低分段位是32975，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
广东考生,13***65 (广东),2018-06-28 10:05,老师您好！我是广东理科，省排名49214有机会被贵校录取吗？,考生你好，建议报考，我校2017年在广东省理工类录取的最低分段位是51932，详细的信息你可以登录东北林业大学招生信息网查看。
湖南考生咨询,13***98 (湖南),2018-06-28 10:03,老师，您好！我是湖南理科考生，581分，报考贵校录取可能性大吗？可以选到好的专业吗？,考生你好，我校2017年在湖南省理工类录取的最高分段位是13583，最低分段位是25706，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
报考,15***48 (江苏),2018-06-28 09:23,专业服从调剂是否有退档风险？贵校是否设专业级差？,考生你好，考生只要体检合格、服从调剂，我校一定不会退档。我校没有专业级差。
北京考生,13***21 (北京),2018-06-28 09:23,您好，我是北京考生，今年排名11100名，请问想报生物技术类专业，机会大吗？另外，入学后可以转专业吗？谢谢,考生你好，我校2017年在北京省理工类录取的最低分段位是13177，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。可以转专业。
工业设计专业,18***93 (天津),2018-06-27 16:48,天津理科考生报考工业设计专业，需要绘画基础吗,考生，你好，这个不需要，但有基础更好
报考咨询,65***7 (福建),2017-06-28 12:01,您好，我是福建考生。高考成绩超本一线31分，全省位次3773名。有希望报考吗？,考生您好，我校2016年在福建省文史类录取最低分为526，对应的位次为4057.根据您今年的成绩被我校录取的可能性较大。欢迎报考东北林业大学！
高考咨询,13***78 (山东),2017-06-28 11:10,山东，理工，543分，位次59751，请问有没有希望进入贵校？,考生您好，我校2016年在山东省理工类录取最低分为590，对应的位次为34249.根据您今年的成绩可以尝试报考我校。欢迎报考东北林业大学！
贵州理科,82*** (贵州),2017-06-28 11:10,您好，请问高考481分，27371名，可以报考贵校吗？,考生你好，我校2016年在贵州省理科录取最低分为499，对应的位次为28271.根据您今年的成绩可以尝试报考我校。欢迎报考东北林业大学！
安徽理科女生,wz*** (安徽),2017-06-28 10:52,您好，超出一本线56分，如果不服从调剂的话，有可能进入贵校吗？,考生你好，超过投档线，服从专业调剂，体检合格，就不会被退档，是否不服从调剂就被我校录取，也取决于你在安徽省一个总排名与去年的排名进行比较。欢迎报考东北林业大学。
贵州理科报考,gy*** (贵州),2017-06-28 10:00,请问贵州理科高出一本线近40分，排位22600，报考贵校希望大吗？,考生你好，我校2016年在贵州省理工类录取的最高分数为536，最低的录取分数为499，最低分数所对应的贵州省省排名为28271，根据你的高考分数以及贵州省的排名，鼓励你报考我校。欢迎报考东北林业大学.
关于园林专业 四川考生,sp*** (四川),2017-06-28 09:57,请问老师，风景园林专业和园林专业入学时是否需要考核美术基础?我看到有的学校相关专业入学后会考核素描。,考生你好，被我校风景园林专业录取的学生不需要被园林学院考核美术基础。被该专业录取的学生不会被要求具有某些绘画基础。欢迎报考东北林业大学。
报考咨询,22***8 (广东),2017-06-28 09:32,老师您好！我是广东理科考生，仅高一本线15分，省排名51749。请问被录取的几率大吗？,考生你好，我校2016年在广东省的理工类的最高录取分数为548，最低分数为513，最低分数对应的广东省省排名为58551，根据你的高考分数以及广东省的省排名，鼓励你报考我校，欢迎报考东北林业大学。
报考咨询,lc***9 (四川),2017-06-27 16:57,老师你好，我是四川文科考生，分数573，超一本线37分，排名5047。报考贵校并且服从专业调剂希望大吗？,"考生你好，去年的我校在四川录取的最高分为573,最低分为563，最低分所在的段位为6828，根据参考你被我校录取的希望与几率很大，欢迎您报考东北林业大学。"
请问贵校文科专业保研情况怎样？,13***8 (四川),2017-06-27 16:32,.,考生你好，包括文科在内的专业的保研率都在10%左右，欢迎报考东北林业大学
北京艺术类考生报考,la*** (北京),2017-06-27 16:20,北京理科艺术考生，理科414分，美术248分，能上东北林业大学吗？,考生你好，我校2016年在北京录取理科艺术类考生的最低文化课成绩为364.您可以到东北林业大学招生信息网参考北京市近几年的艺术类理科的录取成绩进行报考。欢迎报考东北林业大学！
山东考生,xx*** (山东),2017-06-27 15:40,山东，理科，女，考600分，位次16739，能不能进入你校,考生，你好，我校16年山东省理工类录取最低分590，排名34249，你报考东北林业大学录取的机会非常大，欢迎报考东北林业大学！
河南理科,xx*** (河南),2017-06-27 15:30,老师，您好，我是河南考生，今年536，省排名38024，报考贵校有希望吗，如有希望，可报考哪些专业谢谢回答,考生，你好，我校16年河南省理工类录取最低分559，排名39011，有希望被我校录取。欢迎报考东北林业大学！
高考志愿填报,ch*** (安徽),2017-06-27 14:23,我是安徽理科考生，今年高考成绩547分，省排名22889名，请问填报贵校，录取把握有多大？能否选到好的专业？谢谢！,考生，你好，我校16年安徽省理工类录取最低分562，排名27404，你报考东北林业大学录取的机会非常大，欢迎报考东北林业大学！
新疆 招生,25*** (新疆),2017-06-27 12:25,我是新疆考生高考分数高于一本30分请问被贵校录取的几率大吗？,考生你好，我校2016年在新疆地区招生的理工类的最高分为528，最低分为496，最低的的分数排位为全省的9082名，文史类的最高分为525，最低分为515，根据今年自己的分数以及省的排名进行选择报考，欢迎报考东北林业大学
老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,zf*** (内蒙古),2017-06-27 12:13,老师您好，请问内蒙考生民族预科班结业后能选择那些专业？谢谢！,考生你好，少数民族预科班学生预科一年期间不确定专业，预科结业后由学校等额确定招生计划和招生专业，学生根据兴趣、爱好再次填报专业志愿，按照预科期间的成绩录取专业，欢迎报考东北林业大学！
江苏考生,15***55 (江苏),2018-06-25 15:11,请问今年分数346一a一a加，全省47223有希望报考吗,考生您好，我们学校去年在江苏的理工录取最高分是349，段位是29184，最低分是345，段位是34889，你可以参考一下，详细的录取规则和信息，你可以登录东北林业大学招生信息网查看
山东考生,13***96 (山东),2018-06-25 14:57,老师您好，我是山东考生，理科587分，排名28205，是否有希望报考贵校？,考生你好，我们学校去年在山东理工类的录取最高分是604，段位是15172，最低分是574，最低分段位是32975，详细的信息，你可以登录东北林业大学招生信息网查看
河北591位次27770报考贵校如何？,13***23 (河北),2018-06-25 14:29,河北591位次27770报考贵校如何？,考生你好，我们学校去年在你们省的录取最高分是579，段位是17889，最低分是554，最低分段位是29432，详细的信息你可以登录东北林业大学招生信息网查看
湖北理科考生，588,lu***6.com (湖北),2018-06-25 14:13,湖北理科588，报考贵校有希望吗,考生你好，我们学校去年在你们省的录取最高分是559，段位是17655，最低分是542，最低分段位是23988，你具体可以根据你的段位来报考，详细的信息你可以登录东北林业大学招生信息网查看
山东,23***2@qq.com (山东),2018-06-25 14:13,山东考生理工579分，省排名37280，能进贵校吗？能报什么专业？谢谢,考生你好，我们学校去年在你们省的录取最高分是604，最高分段位是15172，最低分是574，最低分段位是32975，详细的信息你可以登录东北林业大学招生信息网查看
录取 专业 退档,18***85 (江西),2018-06-25 13:30,你好！我是江西考生。今年的高考分数为584分，排名13016名。有希望被贵校录取吗？可以就读什么专业？是否会被退档？盼，谢谢！,很有希望；这个还不知道，但依你的名次，应该能得到一个不错的专业，如果服从调剂是不会被退档的
广西理科,13***03 (广西),2018-06-25 13:15,高于一本线39分，排名19250，报考贵校计算机类有希望吗,这个目前还不能给你结果，建议报考
江苏考生,15***55 (江苏),2018-06-25 12:55,请问，理科346物理A生物A+有希望报贵校吗,说一下自己的省排名
河南考生,13***28 (河南),2018-06-25 12:48,今年分数566分高出一本线67分，省排名36312名，报考贵校有希望吗？,很有希望
河北理科,18***44 (河北),2018-06-25 11:35,河北理科，502报二批园林专业，有希望吗。,不好意思我们学校都是一本招生
黑龙江本省考生,13***00 (黑龙江),2018-06-25 10:59,黑龙江，理科571分，全省第10699名，想报风景园林，不知道稳不稳另外东林的风景园林这个专业怎么样，急,东林的风景园林在国内是很好的，稳不稳这个问题还不能给你结果
安徽考生,18***28 (安徽),2018-06-25 09:42,安徽省排名22300+能不能进贵校的林学，机械类,这个现在还不能给你结果但建议报考
黑龙江考生录取问题,13***55 (黑龙江),2018-06-25 09:35,老师您好：我是今年理科男生，成绩567分，线差95分，想报考贵校，请问把握大吗？服从调剂且身体条件满足的情况下，不会退档吧？,我们学校去年理科录取的最低位次一万三千多，所以你的希望还是很大的，服从调剂是不会被退档的
志愿,18***87 (黑龙江),2018-06-25 09:12,黑龙江文科考生，541分，今年报林大有希望吗？,去年的最低位次2540，所以你的希望还是挺大的
山东考生理工579分，,13***48 (山东),2018-06-25 09:07,山东考生理工579分，能进贵校吗？能报什么专业？谢谢,说明一下自己的专业排名，然后专业的话这个这边不能给你结果但可以参照往年的数据
咨询,wu*** (广西),2017-06-25 16:39,老师你好！我是广西理科考生，高一本线9分，请问报读录取机会大吗？服从专业调剂会忒大吗？,考生您好，我校2016年在广西地区理科的最低录取分数为514，对应的位次为23929。您可以查看一下自己的位次进行比较和参考。欢迎报考东北林业大学！
四川考生,fp*** (四川),2017-06-25 16:36,老师你好，我是今年四川考生，分数553，超一本线42分，位次在35449，服从专业调配，请问被录取的机会大吗？,考生你好，我校2016年在四川省的理工类录取的最高分数为602分，最低分数为572，最低分数对应的段位为31781，根据你的高考分数以及所在的段位，鼓励报考我校，欢迎报考东北林业大学。
山东美术考生咨询,12*** (山东),2017-06-25 15:28,老师您好，我是山东美术考生，文化课439，艺术文排名7741，省联考专业成绩209.5，有希望报考贵校吗？,考生您好，我校2016年在山东省艺术类文科录取文化课最低分为464.建议到东北林业大学招生信息网查询一下近几年的艺术类录取分数情况。欢迎报考东北林业大学！
今年黑龙江考生,wu*** (黑龙江),2017-06-25 14:47,2017年黑龙江文科考生504分，是否可报贵校？,考生您好，我校2016年在黑龙江省文科录取最低分为530，对应的位次为2487.您可以查询自己成绩对应的位次进行参考。欢迎报考东北林业大学！
老师您好，望您指导一下！,li*** (山东),2017-06-25 14:36,山东文科550，没有专项计划，有希望报考贵校吗？报哪几个专业录取可能性较大？谢谢。,考生您好，我校2016年在山东文科的录取最低分数为556，对应的位次为8705.您可以查询一下自己的全省排名进行参考。专业的选择可以到东北林业大学招生信息网下载报考指南进行了解不同专业的特点，同时在我校的招生信息网上也可以查询的往年不同专业的录取分数情况。欢迎报考东北林业大学！
报考咨询,lc***9 (四川),2017-06-25 13:34,老师你好，我是四川文科考生，分数573，超一本线37分，排名5047。报考贵校并且服从专业调剂希望大吗？,考生您好，我校2016年在四川省文科录取的最低分数为563，对应的位次为6828.根据您今年的成绩，很可能被我校录取。欢迎报考东北林业大学！
志愿,hu*** (陕西),2017-06-25 12:05,陕西理工考生，494分，29600的位次，请问可以填报贵校吗？被贵校录取的几率大吗？,考生您好，我校2016年在陕西省理科录取的最低分数为511，对应的位次为28825.根据今年的成绩，您可以选择试试报考我校。欢迎报考东北林业大学！
报考咨询,lc***9 (四川),2017-06-25 11:51,老师你好，我是四川文科考生，分数573，超一本线37分，排名5047。报考贵校并且服从专业调剂希望大吗？,考生你好。我校2016年在四川省的文史类录取的最高分数为573，最低分数为563，最低分数所对应的省排名为6828，根据你的高考分数以及段位与以上信息作为参考，鼓励报考我校。欢迎报考东北林业大学。
山东考生咨询风景园林,ws*** (山东),2017-06-25 10:46,您好！我是山东理科考生，569分，高于自主招生线（515）50多分，很喜欢贵校的风景园林专业，有把握吗？,考生您好，您可以到东北林业大学招生信息网查询往年风景园林专业的录取成绩进行参考。欢迎报考东北林业大学！
四川文科,xx*** (四川),2017-06-25 10:29,学校的考研率怎么样，有无硕士或博士点？,考生您好，我校的考研保研比例和政策可以到东北林业大学招生信息网下载招生指南进行了解，同时有硕博点一览表可以查询。
四川文科,xx*** (四川),2017-06-25 10:26,报考文科的工商管理类有六个专业，那进校后是如何分配的？是学生自己选还是通过学校考试分配，自己能控制吗？,考生你好，我校的工商管理类为大类招生，新生入校后在第三学期进行专业选择，第四学期进入专业培养。专业分流的依据为学生之前的学习成绩和个人兴趣。欢迎报考东北林业大学！
报考咨询,lc***9 (四川),2017-06-25 09:31,老师你好，我是四川文科考生，分数573，超一本线37分，排名5047。报考贵校并且服从专业调剂希望大吗？,考生您好，我校2016年在四川省文科录取最低分为563，对应的位次为6828.根据今年的成绩，鼓励报考我校。欢迎报考东北林业大学！
报考咨询（辽宁文科）,yj*** (辽宁),2017-06-24 16:22,2017辽宁文科，高出一本线8分，报考贵校英语专业希望大么？,考生你好，可以参考东北林业大学招生信息网，网址的分省分专业的分数查询可以帮助你参考历年来英语专业在辽宁省的招生的成绩。欢迎报考东北林业大学。
贵州理科生,ch*** (贵州),2017-06-24 13:44,老师好，我是贵州理科生，总分504，超一本线48分，省位次18290，报贵校几率如何？谢谢老师。,考生您好，我校2016年在贵州省理科录取的最低分数为499，对应的位次为28271.根据今年的成绩，您被我校录取的几率很高，欢迎报考东北林业大学！
北林中外合作2016年录取分数及排名？,ai*** (北京),2017-06-24 12:21,北林中外合作2016年录取分数及排名？,考生，你好！我是东北林业大学，请咨询北京林业大学。欢迎报考东北林业大学！
浙江考生,18***20 (浙江),2018-06-24 16:28,我的高考分超一段6分，有希望进你们学校吗,2017年招收浙江考生分数超一本线10分，录取最低分段位为41413名。如果段位相差不大建议冲一下试试
湖北文科考生585,13***23 (湖北),2018-06-24 12:54,请问老师你们学校的园林专业招不招文科生我有没有几率能进,目前我们林大园林专业只招收理科生
甘肃考生,13***75 (甘肃),2018-06-24 12:29,老师您好：我是甘肃考生（女），成绩499分，高出甘肃一本录取线16分，想填报贵校”野生动物与自然保护区管理“专业，可能录取吗,去年在甘肃招生理科最低分为492，段位在14600左右，野生动物与自然保护区管理专业录取最低分数为495，段位在13500左右，根据段位估计更准确一些。
甘肃理科考生,15***34 (甘肃),2018-06-24 11:13,521分能上土木工程专业吗？,去年在甘肃招生理科最低分为492，段位在14600左右，土木工程专业录取最低分数为500，对应段位可以查看2017年甘肃理工类一分一段表，根据段位估计更准确一些。
四川584,15***77 (四川),2018-06-24 10:57,四川584第40095位有希望进贵校吗,去年在四川招生理工类最低分为561，最低分段位在30000左右，可能希望不是很大
甘肃省考生,13***61 (甘肃),2018-06-24 10:12,理科521分，报考贵校计算机类，有多大概率。,去年在甘肃招生理科最低分为492，段位在14600左右，计算机专业录取最低分数为496，段位在13500左右，根据段位估计更准确一些。
甘肃省考生咨询,13***61 (甘肃),2018-06-24 09:48,我是甘肃省理科考试，今年成绩521，报考你校，计算机，录取几率多大。,去年在甘肃招生理科最低分为492，段位在14600左右，计算机类录取最低分数为496，段位在13500左右，根据段位估计更准确一些。
湖北文科593咨询,15***54 (湖北),2018-06-24 09:28,湖北文科593分省排名5647，请问是否有希望报考贵校？,去年在湖北招生文史类最低分为567，段位为4660，可能希望不是很大
青海考生,81***@qq.com (青海),2018-06-23 14:33,老师您好，我是青海考生（女生）。预估成绩超一本线二十分左右，请问报考贵校是否能被录取呢？我能报考的贵校专业中，有哪些是优势学科呢？谢谢老师。,我校2017年在青海省录取最低分数为391分，如一志愿报考我校录取希望较大。另外，我校在林学类、风景园林等优势特色专业均有招生，录取机会也比较大。
安徽考生,zh*** (安徽),2017-06-28 16:41,您好。我是安徽理科考生。第一批次，贵校提档后，服从专业调剂，是否退档？录取专业，有无专业级差分？谢谢,考生您好，如果您的成绩过了我校提档线，高考体检合格且服从调剂就不会被退档。录取专业不设专业级差。欢迎报考东北林业大学！
电子信息类,sd*** (山东),2017-06-28 16:27,贵校电子信息类今年第一次招生？？,考生您好，您可以到东北林业大学招生信息网查询历年的招生计划。欢迎报考我校！
海南理科,hs*** (海南),2017-06-28 16:07,老师您好！海南理科今年616分可以报考贵校吗？您校去年在海南招生理科的最低位次是多少？谢谢,考生您好，我校2016年在海南理科录取最低分为613，对应的位次为8427.您可以查看自己的成绩对应的位次是多少进行参考。欢迎报考东北林业大学！
